customer_id,full_name,phone_number,age,district,subscription_plan,registration_date,is_fraud,credit_score,plan_price_egp,plan_data_gb,plan_call_minutes,age_group,credit_score_group,registration_year,registration_month,plan_price,credit_category
VF-000021,Doaa Abdallah Badawi,1094951883,48,Nasr City - Zone 3,Prepaid 200,2022-06-09,0,560,200,40,800,36-50,Fair (500-650),2022,6,200,Fair
VF-000022,Mohamed Ahmed Farouk,1094525678,48,Nasr City - Abbas El-Akkad,Prepaid 100,2026-01-26,0,490,100,15,300,36-50,Poor (<500),2026,1,100,Poor
VF-000023,Hany Farouk Farouk,1026288475,29,Nasr City - Mostafa El-Nahas,Prepaid 200,2021-12-14,0,590,200,40,800,26-35,Fair (500-650),2021,12,200,Fair
VF-000024,Eman Magdy Mansour,1043183955,53,Nasr City - El Mirghany,Postpaid 150,2023-05-04,0,515,150,25,500,50+,Fair (500-650),2023,5,150,Fair
VF-000025,Mona Omar El-Masry,1061410126,38,Nasr City - Mostafa El-Nahas,Prepaid 100,2021-03-25,0,305,100,15,300,36-50,Poor (<500),2021,3,100,Poor
VF-000026,Essam Farouk Salamah,1010791358,67,Nasr City - Abbas El-Akkad,Prepaid 200,2022-10-09,0,466,200,40,800,50+,Poor (<500),2022,10,200,Poor
VF-000027,Nader Abdel Gamal,1064266464,45,Nasr City - El Mirghany,Student Plan,2020-02-20,1,435,80,20,200,36-50,Poor (<500),2020,2,80,Poor
VF-000028,Ali Farouk Ali,1038408562,47,Nasr City - Zone 3,Prepaid 200,2023-05-08,0,465,200,40,800,36-50,Poor (<500),2023,5,200,Poor
VF-000029,Nader Mohamed Hanafi,1097477029,52,Nasr City - Zone 1,Postpaid 150,2025-03-04,0,655,150,25,500,50+,Good (650-750),2025,3,150,Good
VF-000030,Mariam Abdallah Rida,1025372341,62,Nasr City - Zone 8,Family Plan,2026-03-31,0,624,300,80,1500,50+,Fair (500-650),2026,3,300,Fair
VF-000031,Yasmin Abdallah Ibrahim,1090585882,55,Nasr City - Zone 7,Postpaid 250,2022-05-01,0,740,250,50,1000,50+,Good (650-750),2022,5,250,Good
VF-000032,Majed Gamal Mahmoud,1095306788,44,Nasr City - El Mirghany,Postpaid 400,2020-09-02,0,672,400,100,2000,36-50,,2020,9,400,Good
VF-000033,Doaa Farouk Khalil,1021631697,64,Nasr City - Abbas El-Akkad,Postpaid 400,2024-11-02,0,796,400,100,2000,50+,Excellent (750+),2024,11,400,Excellent
VF-000034,Noha Mahmoud Shahatah,1090014570,31,Nasr City - Zone 10,Student Plan,2020-04-25,0,395,80,20,200,26-35,Poor (<500),2020,4,80,Poor
VF-000035,Ashraf Fathi Awad,1039742165,63,Nasr City - El Mirghany,Prepaid 50,2022-06-16,0,795,50,5,100,50+,Poor (<500),2022,6,50,Excellent
VF-000036,Aya Salah Gamal,1052352128,37,Nasr City - Zone 8,Postpaid 250,2021-02-05,0,704,250,50,1000,36-50,Good (650-750),2021,2,250,Good
VF-000037,Mariam Abdallah El-Sharkawi,1081690398,32,Nasr City - Zone 10,Prepaid 100,2023-08-30,0,429,100,15,300,26-35,Poor (<500),2023,8,100,Poor
VF-000038,Mariam Mohamed Helmy,1016895666,36,Nasr City - El Mirghany,Student Plan,2020-12-02,0,438,80,20,200,36-50,Poor (<500),2020,12,80,Poor
VF-000039,Khaled Hassan Ramadan,1065857931,54,Nasr City - Zone 8,Student Plan,2024-12-07,0,468,80,20,200,50+,Poor (<500),2024,12,80,Poor
VF-000040,Reem Ahmed Morsy,1098641164,65,Nasr City - Zone 2,Prepaid 50,2025-09-26,0,347,50,5,100,50+,Poor (<500),2025,9,50,Poor
VF-000041,Reem Ahmed Farouk,1045507920,36,Nasr City - Zone 8,Postpaid 150,2025-10-07,0,681,150,25,500,36-50,Good (650-750),2025,10,150,Good
VF-000042,Hassan Hassan Ibrahim,1086397676,21,Nasr City - Zone 3,Student Plan,2022-02-08,0,724,80,20,200,18-25,Good (650-750),2022,2,80,Good
VF-000043,Doaa Ali Morsy,1022257687,33,Nasr City - El Zahraa,Student Plan,2022-07-20,0,375,80,20,200,26-35,Poor (<500),2022,7,80,Poor
VF-000044,Shimaa Ahmed El-Gazzar,1047333543,66,Nasr City - Zone 3,Postpaid 150,2023-05-01,0,656,150,25,500,50+,Good (650-750),2023,5,150,Good
VF-000045,Noha Ibrahim El-Banna,1098930456,28,Nasr City - Zone 10,Postpaid 150,2022-12-01,0,546,150,25,500,26-35,Fair (500-650),2022,12,150,Fair
VF-000046,Nada Mohamed Qasim,1058557203,52,Nasr City - El Mirghany,Prepaid 100,2025-08-27,0,331,100,15,300,50+,Poor (<500),2025,8,100,Poor
VF-000047,Doaa Fathi Hassan,1083932360,19,Nasr City - Abbas El-Akkad,Prepaid 50,2021-10-12,0,310,50,5,100,18-25,Poor (<500),2021,10,50,Poor
VF-000048,Nader Sayed Badawi,1042713008,63,Nasr City - Zone 8,Unlimited Premium,2021-08-09,0,502,800,-1,-1,50+,,2021,8,800,Fair
VF-000049,Hassan Farouk El-Masry,1050071487,68,Nasr City - Mostafa El-Nahas,Student Plan,2020-11-17,0,398,80,20,200,50+,Poor (<500),2020,11,80,Poor
VF-000050,Rania Lotfy Salamah,1061401477,47,Nasr City - Zone 10,Prepaid 50,2022-04-01,0,367,50,5,100,36-50,Poor (<500),2022,4,50,Poor
VF-000051,Ghada Hassan Shahatah,1023470708,20,Nasr City - Zone 3,Student Plan,2022-12-08,0,432,80,20,200,18-25,Poor (<500),2022,12,80,Poor
VF-000052,Ali Fathi Ramadan,1020779739,34,Nasr City - Zone 10,Postpaid 150,2021-03-28,0,478,150,25,500,26-35,Poor (<500),2021,3,150,Poor
VF-000053,Rania Ahmed Morsy,1068246664,22,Nasr City - Zone 7,Prepaid 200,2020-04-28,0,722,200,40,800,18-25,Good (650-750),2020,4,200,Good
VF-000054,Ahmed Gamal Ramadan,1042775624,21,Nasr City - Zone 8,Prepaid 200,2024-10-15,1,501,200,40,800,18-25,Fair (500-650),2024,10,200,Fair
VF-000055,Nader Hassan Farouk,1072445234,47,Nasr City - Zone 8,Postpaid 250,2024-09-21,0,666,250,50,1000,36-50,Good (650-750),2024,9,250,Good
VF-000056,Heba Salah El-Banna,1061185849,37,Nasr City - Zone 7,Prepaid 100,2023-07-17,0,654,100,15,300,36-50,Poor (<500),2023,7,100,Good
VF-000057,Fatima Ahmed Morsy,1057287718,65,Nasr City - El Mirghany,Family Plan,2025-01-02,0,624,300,80,1500,50+,Fair (500-650),2025,1,300,Fair
VF-000058,Sherif Ibrahim Awad,1058970845,59,Nasr City - Zone 1,Prepaid 100,2025-11-18,0,773,100,15,300,50+,Poor (<500),2025,11,100,Excellent
VF-000059,Nada Magdy Gamal,1055461591,28,Nasr City - Zone 8,Family Plan,2024-07-04,0,722,300,80,1500,26-35,Good (650-750),2024,7,300,Good
VF-000060,Rania Nabil Ibrahim,1071040347,68,Nasr City - El Zahraa,Prepaid 100,2024-09-06,0,575,100,15,300,50+,Fair (500-650),2024,9,100,Fair
VF-000061,Nader Mohamed Morsy,1095282470,53,Nasr City - Zone 10,Postpaid 150,2024-05-09,0,653,150,25,500,50+,Good (650-750),2024,5,150,Good
VF-000062,Amira Ibrahim Hassan,1099991136,33,Nasr City - Mostafa El-Nahas,Prepaid 200,2024-07-17,0,517,200,40,800,26-35,Fair (500-650),2024,7,200,Fair
VF-000063,Essam Fathi Morsy,1069509870,44,Nasr City - Zone 8,Prepaid 100,2020-11-04,0,459,100,15,300,36-50,Poor (<500),2020,11,100,Poor
VF-000064,Nour Ramadan Gamal,1096128115,30,Nasr City - Zone 2,Postpaid 150,2025-11-16,0,663,150,25,500,26-35,Good (650-750),2025,11,150,Good
VF-000065,Ali Lotfy El-Sayed,1089991301,55,Nasr City - Zone 7,Postpaid 250,2026-01-12,0,742,250,50,1000,50+,Good (650-750),2026,1,250,Good
VF-000066,Mohamed Nabil Ramadan,1045617024,68,Nasr City - Zone 7,Prepaid 50,2024-08-02,0,630,50,5,100,50+,Poor (<500),2024,8,50,Fair
VF-000067,Sami Magdy Farouk,1014180968,57,Nasr City - Zone 1,Postpaid 150,2021-03-04,0,520,150,25,500,50+,Fair (500-650),2021,3,150,Fair
VF-000068,Ali Gamal Morsy,1088566318,27,Nasr City - Zone 2,Postpaid 250,2021-01-11,0,637,250,50,1000,26-35,Fair (500-650),2021,1,250,Fair
VF-000069,Tamer Ibrahim El-Banna,1040667888,59,Nasr City - Mostafa El-Nahas,Prepaid 100,2023-06-07,0,516,100,15,300,50+,Fair (500-650),2023,6,100,Fair
VF-000070,Aya Hassan Qasim,1022960658,48,Nasr City - Zone 2,Student Plan,2025-11-06,0,594,80,20,200,36-50,Poor (<500),2025,11,80,Fair
VF-000071,Rami Nabil El-Banna,1057197152,60,Nasr City - El Zahraa,Postpaid 150,2025-07-23,0,620,150,25,500,50+,Fair (500-650),2025,7,150,Fair
VF-000072,Mariam Omar Helmy,1096261621,32,Nasr City - El Zahraa,Postpaid 250,2022-08-06,0,629,250,50,1000,26-35,Fair (500-650),2022,8,250,Fair
VF-000073,Noha Nabil Mahmoud,1029042093,29,Nasr City - Zone 3,Prepaid 200,2020-08-22,0,480,200,40,800,26-35,Poor (<500),2020,8,200,Poor
VF-000074,Walid Sayed Hanafi,1030881581,38,Nasr City - Abbas El-Akkad,Postpaid 400,2025-12-06,0,818,400,100,2000,36-50,Excellent (750+),2025,12,400,Excellent
VF-000075,Salma Omar El-Sayed,1048016697,66,Nasr City - Mostafa El-Nahas,Prepaid 100,2025-09-13,0,500,100,15,300,50+,Fair (500-650),2025,9,100,Poor
VF-000076,Mohamed Abdallah El-Sharkawi,1011037490,31,Nasr City - Zone 3,Student Plan,2023-12-31,0,429,80,20,200,26-35,Poor (<500),2023,12,80,Poor
VF-000077,Sara Ramadan El-Banna,1020450542,65,Nasr City - Zone 1,Prepaid 100,2020-09-19,0,521,100,15,300,50+,Fair (500-650),2020,9,100,Fair
VF-000078,Tarek Mahmoud Ramadan,1024208709,57,Nasr City - El Mirghany,Prepaid 100,2025-05-06,0,505,100,15,300,50+,Fair (500-650),2025,5,100,Fair
VF-000079,Hana Ali Badawi,1056892354,58,Nasr City - Zone 2,Prepaid 50,2020-10-10,0,335,50,5,100,50+,Poor (<500),2020,10,50,Poor
VF-000080,Hossam Hassan El-Gazzar,1085663295,66,Nasr City - Zone 2,Prepaid 100,2025-06-02,0,545,100,15,300,50+,Fair (500-650),2025,6,100,Fair
VF-000081,Dina Salah Ibrahim,1057236885,48,Nasr City - El Mirghany,Postpaid 250,2023-04-07,0,614,250,50,1000,36-50,Fair (500-650),2023,4,250,Fair
VF-000082,Hossam Magdy Salamah,1086726461,47,Nasr City - Abbas El-Akkad,Prepaid 100,2025-09-09,0,514,100,15,300,36-50,Fair (500-650),2025,9,100,Fair
VF-000083,Sara Magdy Awad,1068978194,29,Nasr City - Zone 1,Postpaid 150,2021-12-25,0,506,150,25,500,26-35,Fair (500-650),2021,12,150,Fair
VF-000084,Tamer Gamal Ibrahim,1043822301,39,Nasr City - Zone 2,Prepaid 200,2022-12-02,0,470,200,40,800,36-50,Poor (<500),2022,12,200,Poor
VF-000085,Walid Sayed Awad,1021370793,62,Nasr City - El Zahraa,Postpaid 250,2022-02-08,0,696,250,50,1000,50+,Good (650-750),2022,2,250,Good
VF-000086,Sherif Farouk Badawi,1038748452,41,Nasr City - Zone 1,Student Plan,2024-10-03,0,326,80,20,200,36-50,Poor (<500),2024,10,80,Poor
VF-000087,Majed Lotfy Khalil,1092950779,65,Nasr City - Mostafa El-Nahas,Prepaid 100,2021-12-04,0,435,100,15,300,50+,Poor (<500),2021,12,100,Poor
VF-000088,Wael Salah Abdullah,1070254091,44,Nasr City - Zone 10,Postpaid 150,2023-07-06,0,627,150,25,500,36-50,Fair (500-650),2023,7,150,Fair
VF-000089,Doaa Sayed El-Gazzar,1036802975,42,Nasr City - Mostafa El-Nahas,Unlimited Premium,2020-08-18,0,621,800,-1,-1,36-50,,2020,8,800,Fair
VF-000090,Ashraf Magdy El-Banna,1078901038,25,Nasr City - Zone 8,Prepaid 50,2025-08-01,0,391,50,5,100,18-25,Poor (<500),2025,8,50,Poor
VF-000091,Rami Ahmed Salamah,1060319927,50,Nasr City - Zone 10,Postpaid 400,2023-04-10,0,454,400,100,2000,36-50,,2023,4,400,Poor
VF-000092,Hussein Fathi Nasser,1020633503,26,Nasr City - El Mirghany,Prepaid 100,2025-07-08,0,592,100,15,300,26-35,Poor (<500),2025,7,100,Fair
VF-000093,Mona Sayed Hassan,1071352751,21,Nasr City - Zone 7,Family Plan,2022-04-05,0,755,300,80,1500,18-25,Excellent (750+),2022,4,300,Excellent
VF-000094,Hussein Farouk Mahmoud,1099170406,57,Nasr City - Zone 10,Prepaid 100,2021-12-23,0,491,100,15,300,50+,Poor (<500),2021,12,100,Poor
VF-000095,Karim Fathi Abdullah,1057928328,58,Nasr City - El Zahraa,Postpaid 250,2024-01-07,1,723,250,50,1000,50+,Good (650-750),2024,1,250,Good
VF-000096,Dina Ahmed Zidan,1074227366,52,Nasr City - Zone 10,Prepaid 200,2024-03-01,0,525,200,40,800,50+,Fair (500-650),2024,3,200,Fair
VF-000097,Tamer Abdallah Abdullah,1082884346,38,Nasr City - Zone 8,Unlimited Premium,2023-09-09,0,537,800,-1,-1,36-50,,2023,9,800,Fair
VF-000098,Heba Ibrahim Ramadan,1061894582,41,Nasr City - El Zahraa,Unlimited Premium,2022-07-30,0,826,800,-1,-1,36-50,Excellent (750+),2022,7,800,Excellent
VF-000099,Wael Farouk Ibrahim,1023770458,45,Nasr City - Abbas El-Akkad,Prepaid 100,2022-11-11,0,405,100,15,300,36-50,Poor (<500),2022,11,100,Poor
VF-000100,Doaa Ahmed Hanafi,1017698469,40,Nasr City - Abbas El-Akkad,Postpaid 150,2020-03-31,0,647,150,25,500,36-50,Fair (500-650),2020,3,150,Fair
VF-000101,Adel Salah Abdullah,1061385847,26,Nasr City - Zone 2,Prepaid 200,2026-02-22,0,456,200,40,800,26-35,Poor (<500),2026,2,200,Poor
VF-000102,Amr Hassan Badawi,1025226815,41,Nasr City - El Zahraa,Student Plan,2022-12-04,0,395,80,20,200,36-50,Poor (<500),2022,12,80,Poor
VF-000103,Rana Sayed Nasser,1070672142,49,Nasr City - Zone 7,Prepaid 200,2020-12-27,0,797,600,200,5000,36-50,Excellent (750+),2020,12,200,Excellent
VF-000104,Sara Lotfy Abdel-Aziz,1095590648,36,Nasr City - Zone 8,Family Plan,2021-06-12,0,696,300,80,1500,36-50,Good (650-750),2021,6,300,Good
VF-000105,Fatima Nabil Abdel-Aziz,1021571646,54,Nasr City - Zone 10,Student Plan,2023-12-10,0,543,80,20,200,50+,Poor (<500),2023,12,80,Fair
VF-000106,Khaled Gamal Awad,1027224779,22,Nasr City - El Mirghany,Prepaid 200,2022-09-02,0,562,200,40,800,18-25,Fair (500-650),2022,9,200,Fair
VF-000107,Essam Ibrahim Badawi,1040262109,27,Nasr City - Zone 8,Student Plan,2025-05-01,0,425,80,20,200,26-35,Poor (<500),2025,5,80,Poor
VF-000108,Dina Sayed Morsy,1087933054,52,Nasr City - Zone 2,Student Plan,2022-11-03,0,318,80,20,200,50+,Poor (<500),2022,11,80,Poor
VF-000109,Ali Ahmed Awad,1086790955,67,Nasr City - Abbas El-Akkad,Prepaid 50,2022-09-04,0,347,50,5,100,50+,Poor (<500),2022,9,50,Poor
VF-000110,Mona Ramadan El-Sharkawi,1074995086,47,Nasr City - Zone 2,Postpaid 150,2021-09-06,0,507,150,25,500,36-50,Fair (500-650),2021,9,150,Fair
VF-000111,Yasmin Hassan El-Gazzar,1072608888,41,Nasr City - Mostafa El-Nahas,Student Plan,2020-04-18,0,423,80,20,200,36-50,Poor (<500),2020,4,80,Poor
VF-000112,Mona Mahmoud Khalil,1076876068,38,Nasr City - Abbas El-Akkad,Postpaid 150,2024-09-11,0,734,150,25,500,36-50,Good (650-750),2024,9,150,Good
VF-000113,Mona Abdallah Helmy,1097813295,40,Nasr City - Zone 1,Prepaid 200,2022-08-19,0,546,200,40,800,36-50,Fair (500-650),2022,8,200,Fair
VF-000114,Aya Ahmed Salamah,1048735464,21,Nasr City - Abbas El-Akkad,Postpaid 150,2020-05-25,0,453,150,25,500,18-25,Poor (<500),2020,5,150,Poor
VF-000115,Khaled Ibrahim Salamah,1036717096,41,Nasr City - Zone 10,Postpaid 250,2021-01-07,0,728,250,50,1000,36-50,Good (650-750),2021,1,250,Good
VF-000116,Dina Magdy Ali,1092745294,38,Nasr City - Abbas El-Akkad,Prepaid 100,2025-04-01,0,475,100,15,300,36-50,Poor (<500),2025,4,100,Poor
VF-000117,Amira Mohamed Zidan,1094457912,39,Nasr City - Zone 2,Prepaid 50,2020-08-08,0,415,50,5,100,36-50,Poor (<500),2020,8,50,Poor
VF-000118,Amr Fathi Ahmed,1042507072,51,Nasr City - Abbas El-Akkad,Prepaid 200,2025-03-02,0,775,600,200,5000,50+,Excellent (750+),2025,3,200,Excellent
VF-000119,Nour Hassan Badawi,1060576565,31,Nasr City - Mostafa El-Nahas,Prepaid 100,2022-05-23,0,534,100,15,300,26-35,Fair (500-650),2022,5,100,Fair
VF-000120,Eman Fathi El-Sayed,1049945150,33,Nasr City - Zone 8,Prepaid 50,2021-06-16,0,357,50,5,100,26-35,Poor (<500),2021,6,50,Poor
VF-000121,Reem Ibrahim Helmy,1029659692,61,Nasr City - Mostafa El-Nahas,Unlimited Premium,2025-08-27,0,772,800,-1,-1,50+,Excellent (750+),2025,8,800,Excellent
VF-000122,Rana Abdallah Khalil,1024660143,52,Nasr City - Zone 8,Student Plan,2022-07-01,0,390,80,20,200,50+,Poor (<500),2022,7,80,Poor
VF-000123,Omar Farouk El-Masry,1010695441,63,Nasr City - El Mirghany,Family Plan,2022-06-02,0,739,300,80,1500,50+,Good (650-750),2022,6,300,Good
VF-000124,Hany Sayed El-Masry,1081826922,36,Nasr City - Zone 1,Postpaid 150,2022-07-04,0,601,150,25,500,36-50,Fair (500-650),2022,7,150,Fair
VF-000125,Essam Ramadan Ramadan,1086230551,49,Nasr City - Zone 3,Prepaid 100,2022-04-21,0,658,100,15,300,36-50,Poor (<500),2022,4,100,Good
VF-000126,Adel Magdy Rida,1071594457,35,Nasr City - Zone 7,Prepaid 100,2021-10-01,0,313,100,15,300,26-35,Poor (<500),2021,10,100,Poor
VF-000127,Hossam Ramadan Khalil,1022802372,45,Nasr City - Mostafa El-Nahas,Postpaid 150,2025-08-06,0,480,150,25,500,36-50,Poor (<500),2025,8,150,Poor
VF-000128,Noha Sayed Helmy,1041715995,64,Nasr City - Abbas El-Akkad,Postpaid 150,2020-02-25,0,657,150,25,500,50+,Good (650-750),2020,2,150,Good
VF-000129,Mariam Sayed Zidan,1071066203,57,Nasr City - Zone 7,Prepaid 100,2025-04-03,0,534,100,15,300,50+,Fair (500-650),2025,4,100,Fair
VF-000130,Hany Abdel Qasim,1058557943,66,Nasr City - Abbas El-Akkad,Prepaid 100,2025-02-11,0,512,100,15,300,50+,Fair (500-650),2025,2,100,Fair
VF-000131,Mostafa Gamal El-Banna,1088268756,51,Nasr City - El Mirghany,Prepaid 100,2022-08-02,0,343,100,15,300,50+,Poor (<500),2022,8,100,Poor
VF-000132,Bassam Salah Qasim,1010404729,69,Nasr City - Zone 8,Prepaid 100,2020-12-06,0,378,100,15,300,50+,Poor (<500),2020,12,100,Poor
VF-000133,Nader Ahmed El-Sharkawi,1096688655,44,Nasr City - Zone 3,Postpaid 250,2020-04-17,0,698,600,200,5000,36-50,,2020,4,250,Good
VF-000134,Ayman Lotfy Ali,1062755436,54,Unknown,Postpaid 250,2024-02-12,0,509,600,200,5000,50+,,2024,2,250,Fair
VF-000135,Rania Ramadan Khalil,1035297417,32,Nasr City - Zone 7,Prepaid 100,2023-05-18,0,308,100,15,300,26-35,Poor (<500),2023,5,100,Poor
VF-000136,Ibrahim Abdallah Ibrahim,1016533225,24,Nasr City - Abbas El-Akkad,Student Plan,2023-02-06,0,618,80,20,200,18-25,Fair (500-650),2023,2,80,Fair
VF-000137,Majed Sayed Farouk,1053038943,70,Nasr City - Abbas El-Akkad,Postpaid 150,2022-07-09,0,618,150,25,500,50+,Fair (500-650),2022,7,150,Fair
VF-000138,Sherif Farouk Abdel-Aziz,1080392240,49,Nasr City - Zone 1,Family Plan,2024-09-12,0,669,300,80,1500,36-50,Good (650-750),2024,9,300,Good
VF-000139,Hussein Hassan Ramadan,1084797762,47,Nasr City - Zone 1,Prepaid 200,2023-10-08,0,548,600,200,5000,36-50,,2023,10,200,Fair
VF-000140,Sara Lotfy Hanafi,1090922827,30,Nasr City - Zone 1,Family Plan,2023-05-21,0,671,300,80,1500,26-35,Good (650-750),2023,5,300,Good
VF-000141,Reem Mohamed El-Sayed,1037449289,30,Nasr City - Zone 2,Postpaid 250,2020-05-07,0,686,250,50,1000,26-35,Good (650-750),2020,5,250,Good
VF-000142,Heba Nabil Badawi,1052980983,49,Nasr City - El Mirghany,Postpaid 250,2020-07-18,0,733,250,50,1000,36-50,Good (650-750),2020,7,250,Good
VF-000143,Rania Farouk El-Sharkawi,1042981324,27,Nasr City - Zone 7,Prepaid 200,2020-01-21,0,465,200,40,800,26-35,Poor (<500),2020,1,200,Poor
VF-000144,Doaa Mahmoud Hanafi,1075540707,68,Nasr City - Zone 10,Family Plan,2024-07-29,0,704,300,80,1500,50+,Good (650-750),2024,7,300,Good
VF-000145,Essam Ahmed El-Gazzar,1030270856,18,Nasr City - El Zahraa,Prepaid 100,2023-08-26,0,362,100,15,300,18-25,Poor (<500),2023,8,100,Poor
VF-000146,Fatima Mohamed Abdel-Aziz,1046875077,53,Nasr City - El Zahraa,Postpaid 150,2020-03-06,0,570,150,25,500,50+,Fair (500-650),2020,3,150,Fair
VF-000147,Omar Ibrahim Badawi,1057572279,27,Nasr City - Zone 7,Prepaid 100,2022-12-06,0,568,100,15,300,26-35,Fair (500-650),2022,12,100,Fair
VF-000148,Hussein Ali Awad,1084182331,59,Nasr City - Zone 1,Postpaid 150,2024-03-11,0,465,150,25,500,50+,Poor (<500),2024,3,150,Poor
VF-000149,Shimaa Ibrahim Badawi,1073820568,20,Nasr City - Zone 7,Family Plan,2021-10-28,0,821,300,80,1500,18-25,Excellent (750+),2021,10,300,Excellent
VF-000150,Adel Gamal Mahmoud,1020326375,31,Nasr City - Abbas El-Akkad,Unlimited Premium,2021-04-12,0,774,800,-1,-1,26-35,Excellent (750+),2021,4,800,Excellent
VF-000151,Dina Ali Badawi,1020202996,65,Nasr City - Zone 10,Postpaid 150,2025-04-07,0,506,150,25,500,50+,Fair (500-650),2025,4,150,Fair
VF-000152,Doaa Fathi Farouk,1088634827,40,Nasr City - Mostafa El-Nahas,Prepaid 50,2023-02-07,0,330,50,5,100,36-50,Poor (<500),2023,2,50,Poor
VF-000153,Karim Hassan Hanafi,1051374957,42,Nasr City - Zone 10,Student Plan,2022-10-14,0,484,80,20,200,36-50,Poor (<500),2022,10,80,Poor
VF-000154,Mariam Mohamed Ibrahim,1053544301,63,Nasr City - Mostafa El-Nahas,Family Plan,2025-04-15,0,618,300,80,1500,50+,Fair (500-650),2025,4,300,Fair
VF-000155,Amr Magdy Ahmed,1046024950,61,Nasr City - El Zahraa,Prepaid 100,2024-05-16,0,388,100,15,300,50+,Poor (<500),2024,5,100,Poor
VF-000156,Mona Fathi Morsy,1010908300,57,Nasr City - Zone 7,Prepaid 50,2021-09-16,0,760,50,5,100,50+,Poor (<500),2021,9,50,Excellent
VF-000157,Hussein Gamal Morsy,1063450811,62,Nasr City - Zone 7,Prepaid 100,2020-05-04,0,324,100,15,300,50+,Poor (<500),2020,5,100,Poor
VF-000158,Heba Ramadan Zidan,1034149421,25,Nasr City - Abbas El-Akkad,Postpaid 250,2022-08-08,0,437,250,50,1000,18-25,,2022,8,250,Poor
VF-000159,Sara Farouk Qasim,1030688754,49,Nasr City - Zone 3,Prepaid 50,2020-11-05,0,376,50,5,100,36-50,Poor (<500),2020,11,50,Poor
