customer_id,full_name,phone_number,age,district,subscription_plan,registration_date,is_fraud,credit_score
VF-000065,Ali Lotfy El-Sayed,1089991301,55,Nasr City - Zone 7,POSTPAID 100,1/30/2024,0,742.1
VF-000066,Mohamed Nabil Ramadan,1045617024,68,Nasr City - Zone 7,Postpaid Business,2/8/2024,0,211
VF-000067,Sami Magdy Farouk,1014180968,57,Nasr City - Zone 1,Postpaid Business,3/25/2024,0,520.6
VF-000068,Ali Gamal Morsy,1088566318,27,Nasr City - Zone 2,Prepaid Plus,5/18/2024,0,637
VF-000069,Tamer Ibrahim El-Banna,1040667888,59,Nasr City - Mostafa El-Nahas,Prepaid Plus,7/6/2023,0,516.1
VF-000070,Aya Hassan Qasim,1022960658,48,Nasr City - Zone 2,Prepaid Basic,6/11/2025,0,265.3
VF-000071,Rami Nabil El-Banna,1057197152,60,Nasr City - El Zahraa,Prepaid Basic,4/22/2024,0,620.3
VF-000072,Mariam Omar Helmy,1096261621,32,Nasr City - El Zahraa,Postpaid Business,6/8/2022,0,629.5
VF-000073,Noha Nabil Mahmoud,1029042093,29,Nasr City - Zone 3,Postpaid Business,3/27/2022,0,480.5
VF-000074,Walid Sayed Hanafi,1030881581,38,Nasr City - Abbas El-Akkad,Postpaid Business,6/12/2025,0,818.3
VF-000075,Salma Omar El-Sayed,1048016697,66,Nasr City - Mostafa El-Nahas,Prepaid Basic,12/27/2023,0,500.9
VF-000076,Mohamed Abdallah El-Sharkawi,1011037490,31,Nasr City - Zone 3,Postpaid 100,4/19/2024,0,429.7
VF-000077,Sara Ramadan El-Banna,1020450542,65,Nasr City - Zone 1,Postpaid 200,10/25/2025,0,521.8
VF-000078,Tarek Mahmoud Ramadan,1024208709,57,Nasr City - El Mirghany,Postpaid 100,6/5/2025,0,505.7
VF-000079,Hana Ali Badawi,1056892354,58,Nasr City - Zone 2,Postpaid Business,1/23/2023,0,335.7
VF-000080,Hossam Hassan El-Gazzar,1085663295,66,Nasr City - Zone 2,Prepaid Plus,5/26/2022,0,545.9
VF-000081,Dina Salah Ibrahim,1057236885,48,Nasr City - El Mirghany,Postpaid 100,5/19/2024,0,614
VF-000082,Hossam Magdy Salamah,1086726461,47,Nasr City - Abbas El-Akkad,Postpaid Business,9/9/2025,0,514.8
VF-000083,Sara Magdy Awad,1068978194,29,Nasr City - Zone 1,Prepaid Plus,12/14/2021,0,506.4
VF-000084,Tamer Gamal Ibrahim,1043822301,39,Nasr City - Zone 2,Postpaid Business,2/12/2022,0,470.6
VF-000085,Walid Sayed Awad,1021370793,62,Nasr City - El Zahraa,Prepaid Plus,8/2/2022,0,696.2
VF-000086,Sherif Farouk Badawi,1038748452,41,Nasr City - Zone 1,Postpaid 100,3/10/2024,0,326.2
VF-000087,Majed Lotfy Khalil,1092950779,65,Nasr City - Mostafa El-Nahas,Prepaid Basic,3/18/2022,0,435.7
VF-000088,Wael Salah Abdullah,1070254091,44,Nasr City - Zone 10,Prepaid Plus,6/7/2023,0,627.4
VF-000089,Doaa Sayed El-Gazzar,1036802975,42,Nasr City - Mostafa El-Nahas,Postpaid Business,7/29/2023,0,876.4
VF-000090,Ashraf Magdy El-Banna,1078901038,25,Nasr City - Zone 8,Prepaid Basic,1/8/2025,0,391
VF-000091,Rami Ahmed Salamah,1060319927,50,Nasr City - Zone 10,Prepaid Plus,10/4/2023,0,896.2
VF-000092,Hussein Fathi Nasser,1020633503,26,Nasr City - El Mirghany,POSTPAID 100,6/21/2022,0,203.7
VF-000093,Mona Sayed Hassan,1071352751,21,Nasr City - Zone 7,Postpaid 200,5/4/2022,0,755.7
VF-000094,Hussein Farouk Mahmoud,1099170406,57,Nasr City - Zone 10,Prepaid Plus,9/21/2022,0,491.6
VF-000095,Karim Fathi Abdullah,1057928328,58,Nasr City - El Zahraa,Postpaid 100,7/1/2024,1,723.1
VF-000096,Dina Ahmed Zidan,1074227366,52,Nasr City - Zone 10,Prepaid Plus,1/30/2022,0,525.2
VF-000097,Tamer Abdallah Abdullah,1082884346,38,Nasr City - Zone 8,Postpaid Business,9/9/2023,0,892.4
VF-000098,Heba Ibrahim Ramadan,1061894582,41,Nasr City - El Zahraa,Postpaid 200,6/16/2023,0,826.2
VF-000099,Wael Farouk Ibrahim,1023770458,45,Nasr City - Abbas El-Akkad,Prepaid Plus,11/11/2022,0,405.6
VF-000100,Doaa Ahmed Hanafi,1017698469,40,Nasr City - Abbas El-Akkad,Postpaid 200,5/19/2024,0,647.6
VF-000101,Adel Salah Abdullah,1061385847,26,Nasr City - Zone 2,Prepaid Plus,4/21/2022,0,456.4
VF-000102,Amr Hassan Badawi,1025226815,41,Nasr City - El Zahraa,POSTPAID 100,4/12/2022,0,395.1
VF-000103,Rana Sayed Nasser,1070672142,49,Nasr City - Zone 7,Prepaid Basic,2/28/2025,0,797
VF-000104,Sara Lotfy Abdel-Aziz,1095590648,36,Nasr City - Zone 8,Prepaid Plus,12/6/2021,0,696.7
VF-000105,Fatima Nabil Abdel-Aziz,1021571646,54,Nasr City - Zone 10,Postpaid 200,10/30/2022,0,290.8
VF-000106,Khaled Gamal Awad,1027224779,22,Nasr City - El Mirghany,Postpaid 200,2/9/2022,0,562.2
VF-000107,Essam Ibrahim Badawi,1040262109,27,Nasr City - Zone 8,Prepaid Plus,1/5/2025,0,425.9
VF-000108,Dina Sayed Morsy,1087933054,52,Nasr City - Zone 2,Postpaid Business,4/30/2022,0,318
VF-000109,Ali Ahmed Awad,1086790955,67,Nasr City - Abbas El-Akkad,Postpaid 100,4/9/2022,0,347.6
VF-000110,Mona Ramadan El-Sharkawi,1074995086,47,Nasr City - Zone 2,Prepaid Basic,1/13/2025,0,507.7
VF-000111,Yasmin Hassan El-Gazzar,1072608888,41,Nasr City - Mostafa El-Nahas,Postpaid Business,4/29/2025,0,423.4
VF-000112,Mona Mahmoud Khalil,1076876068,38,Nasr City - Abbas El-Akkad,Postpaid 100,11/9/2024,0,734.2
VF-000113,Mona Abdallah Helmy,1097813295,40,Nasr City - Zone 1,Prepaid Basic,4/28/2026,0,546.4
VF-000114,Aya Ahmed Salamah,1048735464,21,Nasr City - Abbas El-Akkad,Postpaid Business,10/30/2024,0,453.8
VF-000115,Khaled Ibrahim Salamah,1036717096,41,Nasr City - Zone 10,Postpaid Business,11/15/2023,0,728.5
VF-000116,Dina Magdy Ali,1092745294,38,Nasr City - Abbas El-Akkad,Postpaid 100,1/4/2025,0,475.1
VF-000117,Amira Mohamed Zidan,1094457912,39,Nasr City - Zone 2,PostPaid 200,8/25/2022,0,415.4
VF-000118,Amr Fathi Ahmed,1042507072,51,Nasr City - Abbas El-Akkad,prepaid basic,2/3/2025,0,775.2
VF-000119,Nour Hassan Badawi,1060576565,31,Nasr City - Mostafa El-Nahas,Postpaid 100,3/17/2022,0,534.9
VF-000120,Eman Fathi El-Sayed,1049945150,33,Nasr City - Zone 8,Postpaid Business,3/31/2024,0,357.4
VF-000121,Reem Ibrahim Helmy,1029659692,61,Nasr City - Mostafa El-Nahas,Postpaid 200,9/16/2023,0,772.9
VF-000122,Rana Abdallah Khalil,1024660143,52,Nasr City - Zone 8,Postpaid Business,1/7/2022,0,390.1
VF-000123,Omar Farouk El-Masry,1010695441,63,Nasr City - El Mirghany,Prepaid Basic,2/6/2022,0,739.5
VF-000124,Hany Sayed El-Masry,1081826922,36,Nasr City - Zone 1,Prepaid Basic,4/7/2022,0,601.9
VF-000125,Essam Ramadan Ramadan,1086230551,49,Nasr City - Zone 3,Postpaid 100,9/17/2025,0,206.5
VF-000126,Adel Magdy Rida,1071594457,35,Nasr City - Zone 7,Prepaid Basic,6/26/2026,0,313.7
VF-000127,Hossam Ramadan Khalil,1022802372,45,Nasr City - Mostafa El-Nahas,Postpaid 100,6/8/2025,0,480.6
VF-000128,Noha Sayed Helmy,1041715995,64,Nasr City - Abbas El-Akkad,Prepaid Basic,6/15/2024,0,657.6
VF-000129,Mariam Sayed Zidan,1071066203,57,Nasr City - Zone 7,Prepaid Plus,3/4/2025,0,534.7
VF-000130,Hany Abdel Qasim,1058557943,66,Nasr City - Abbas El-Akkad,Prepaid Basic,12/22/2022,0,512.7
VF-000131,Mostafa Gamal El-Banna,1088268756,51,Nasr City - El Mirghany,Prepaid Basic,2/8/2022,0,343.8
VF-000132,Bassam Salah Qasim,1010404729,69,Nasr City - Zone 8,Prepaid Basic,9/14/2023,0,378.1
VF-000133,Nader Ahmed El-Sharkawi,1096688655,44,Nasr City - Zone 3,Prepaid Plus,4/29/2022,0,884.8
VF-000134,Ayman Lotfy Ali,1062755436,,,Prepaid Basic,12/2/2024,0,895
VF-000135,Rania Ramadan Khalil,1035297417,32,Nasr City - Zone 7,Postpaid 200,12/25/2023,0,308.6
VF-000136,Ibrahim Abdallah Ibrahim,1016533225,24,Nasr City - Abbas El-Akkad,Prepaid Basic,6/2/2023,0,618.4
VF-000137,Majed Sayed Farouk,1053038943,70,Nasr City - Abbas El-Akkad,Postpaid 100,9/7/2022,0,618.5
VF-000138,Sherif Farouk Abdel-Aziz,1080392240,49,Nasr City - Zone 1,Postpaid 100,4/25/2022,0,669.9
VF-000139,Hussein Hassan Ramadan,1084797762,47,Nasr City - Zone 1,Postpaid Business,8/10/2023,0,877.5
VF-000140,Sara Lotfy Hanafi,1090922827,30,Nasr City - Zone 1,prepaid basic,10/22/2023,0,671.6
VF-000141,Reem Mohamed El-Sayed,1037449289,30,Nasr City - Zone 2,Postpaid 200,7/24/2024,0,686.9
VF-000142,Heba Nabil Badawi,1052980983,49,Nasr City - El Mirghany,Prepaid Basic,4/16/2023,0,733.1
VF-000143,Rania Farouk El-Sharkawi,1042981324,27,Nasr City - Zone 7,Postpaid 100,8/18/2024,0,465.9
VF-000144,Doaa Mahmoud Hanafi,1075540707,68,Nasr City - Zone 10,Prepaid Plus,2/19/2025,0,704.2
VF-000145,Essam Ahmed El-Gazzar,1030270856,18,Nasr City - El Zahraa,postpaid business,5/21/2022,0,362
VF-000146,Fatima Mohamed Abdel-Aziz,1046875077,53,Nasr City - El Zahraa,Prepaid Basic,10/29/2025,0,570.6
VF-000147,Omar Ibrahim Badawi,1057572279,27,Nasr City - Zone 7,Prepaid Plus,6/12/2022,0,568.5
VF-000148,Hussein Ali Awad,1084182331,59,Nasr City - Zone 1,Prepaid Basic,8/25/2023,0,465.5
VF-000149,Shimaa Ibrahim Badawi,1073820568,20,Nasr City - Zone 7,Prepaid Plus,1/15/2022,0,821.3
VF-000150,Adel Gamal Mahmoud,1020326375,31,Nasr City - Abbas El-Akkad,Prepaid Plus,12/4/2021,0,774.6
VF-000151,Dina Ali Badawi,1020202996,65,Nasr City - Zone 10,Prepaid Basic,5/16/2025,0,506
VF-000152,Doaa Fathi Farouk,1088634827,40,Nasr City - Mostafa El-Nahas,Postpaid 200,7/2/2023,0,330
VF-000153,Karim Hassan Hanafi,1051374957,42,Nasr City - Zone 10,Postpaid 100,4/28/2025,0,264.1
VF-000154,Mariam Mohamed Ibrahim,1053544301,999,Nasr City - Mostafa El-Nahas,Prepaid Basic,7/29/2022,0,618.6
VF-000155,Amr Magdy Ahmed,1046024950,61,Nasr City - El Zahraa,Prepaid Plus,2/21/2025,0,388.2
VF-000156,Mona Fathi Morsy,1010908300,57,Nasr City - Zone 7,Postpaid 200,4/27/2025,0,294.8
VF-000157,Hussein Gamal Morsy,1063450811,62,Nasr City - Zone 7,Postpaid 200,2/28/2024,0,324.3
VF-000158,Heba Ramadan Zidan,1034149421,25,Nasr City - Abbas El-Akkad,Prepaid Plus,8/8/2022,0,898.1
VF-000159,Sara Farouk Qasim,1030688754,49,Nasr City - Zone 3,Postpaid 100,7/25/2024,0,376.9
VF-000160,Rania Ahmed Ramadan,1024679315,41,Nasr City - Mostafa El-Nahas,Postpaid Business,5/6/2022,0,840.1
VF-000161,Noha Farouk Hassan,1079631857,18,Nasr City - Zone 2,Postpaid 100,9/4/2024,0,557.5
VF-000162,Walid Mohamed Shahatah,1029015320,24,Nasr City - Zone 8,Postpaid 200,6/10/2025,0,281.2
VF-000163,Noha Ali El-Sharkawi,1032059232,20,Nasr City - Zone 2,Prepaid Basic,12/31/2023,0,653.6
VF-000164,Mona Ramadan Awad,1092424037,29,,Postpaid 200,9/14/2023,0,220.4
VF-000165,Amr Ibrahim Ramadan,1025294777,52,Nasr City - Zone 3,Postpaid 100,2/4/2024,0,338
VF-000166,Walid Nabil El-Banna,1049922369,47,Nasr City - Abbas El-Akkad,Prepaid Plus,2/22/2022,0,694.2
VF-000167,Dina Magdy Salamah,1034931439,44,Nasr City - Abbas El-Akkad,Prepaid Plus,9/12/2022,0,468.6
VF-000168,Dina Mahmoud El-Masry,1075043108,46,Nasr City - Abbas El-Akkad,Prepaid Basic,11/28/2023,0,866.3
VF-000169,Doaa Fathi Ahmed,1046890134,23,Nasr City - Abbas El-Akkad,Prepaid Basic,9/7/2024,0,404.5
VF-000170,Amr Ibrahim Gamal,1015584869,67,Nasr City - Mostafa El-Nahas,Postpaid 100,11/18/2022,0,775.8
VF-000171,Hussein Ahmed Rida,1025755285,34,Nasr City - Zone 10,Prepaid Basic,6/17/2023,0,805.7
VF-000172,Hana Hassan Ramadan,1047726592,31,Nasr City - Zone 7,Prepaid Basic,9/22/2022,0,445.6
VF-000173,Khaled Farouk Abdullah,1053231088,35,Nasr City - Zone 3,Prepaid Plus,7/9/2024,0,302.4
VF-000174,Yasmin Salah Ibrahim,1059535894,58,Nasr City - Zone 2,Postpaid 200,1/12/2023,0,724.9
VF-000175,Ghada Nabil El-Banna,1038434222,22,Nasr City - Mostafa El-Nahas,Postpaid 200,9/12/2024,0,877.7
VF-000176,Nour Ahmed Hassan,1031204188,999,Nasr City - El Mirghany,Prepaid Basic,3/23/2025,0,850.6
VF-000177,Adel Omar Ibrahim,1097095388,59,Nasr City - Zone 10,Postpaid 100,6/17/2025,0,460.3
VF-000178,Mohamed Abdallah Shahatah,1069735865,22,Nasr City - Zone 3,Postpaid100,8/26/2024,0,563.6
VF-000179,Sara Ibrahim Hassan,1027870584,38,Nasr City - Zone 10,Postpaid 100,2/25/2025,0,467.9
VF-000180,Rana Hassan Mansour,1028792245,57,Nasr City - El Mirghany,Prepaid Plus,6/8/2025,0,827.6
VF-000181,Ghada Ali Farouk,1013600310,53,Nasr City - Abbas El-Akkad,Postpaid Business,7/7/2022,0,399.4
VF-000182,Ghada Ahmed Ramadan,1077052833,68,,Postpaid 200,10/4/2023,0,278.9
VF-000183,Shimaa Farouk Zidan,1019064068,52,Nasr City - Zone 3,POSTPAID 100,7/6/2025,0,211.7
VF-000184,Salma Ramadan Ibrahim,1021220209,58,Nasr City - Mostafa El-Nahas,Postpaid Business,6/20/2022,0,306.9
VF-000185,Hussein Farouk Hanafi,1025567455,33,Nasr City - Zone 1,Prepaid Plus,6/9/2025,0,847.2
VF-000186,Ashraf Mohamed Ahmed,1044795538,49,Nasr City - Zone 10,Postpaid Business,1/8/2023,0,748.1
VF-000187,Tarek Farouk Gamal,1094226031,51,Nasr City - Zone 2,Postpaid 100,12/5/2021,0,882.5
VF-000188,Mariam Ibrahim Farouk,1011649277,65,Nasr City - Mostafa El-Nahas,Prepaid Basic,9/3/2025,0,801.1
VF-000189,Mona Gamal Farouk,1026025721,44,Nasr City - Zone 10,Postpaid 100,6/26/2025,0,600.1
VF-000190,Sami Sayed El-Gazzar,1059515518,37,Nasr City - Zone 10,Prepaid Basic,10/27/2022,0,519.7
VF-000191,Rana Lotfy El-Gazzar,1013209180,68,Nasr City - Zone 7,,11/19/2025,0,852.7
VF-000192,Reem Ibrahim El-Sayed,1029109045,51,Nasr City - Zone 7,Postpaid 200,3/1/2023,0,872.8
VF-000193,Doaa Ali Helmy,1020043577,24,Nasr City - Mostafa El-Nahas,Prepaid Plus,5/7/2022,0,774
VF-000194,Noha Gamal Rida,1088478184,35,Nasr City - Zone 7,Prepaid Basic,10/13/2024,0,295.3
VF-000195,Sami Sayed Rida,1050831043,34,Nasr City - Zone 2,Prepaid Basic,1/14/2025,0,765.3
VF-000196,Walid Ramadan Badawi,1064276605,21,Nasr City - Zone 8,Postpaid 100,12/11/2024,0,221.8
VF-000197,Mohamed Ahmed Khalil,1059961172,67,Nasr City - Zone 7,Prepaid Plus,10/23/2024,0,776.6
VF-000198,Youssef Salah Ramadan,1071873691,26,Nasr City - Zone 2,Postpaid 100,3/27/2025,0,229.9
VF-000199,Hana Nabil El-Sayed,1014650569,29,Nasr City - Zone 8,Postpaid 100,6/3/2023,0,818.4
VF-000200,Hassan Ramadan Ali,1082968364,44,Nasr City - Zone 7,Postpaid Business,7/10/2024,0,641.5
VF-000201,Yasmin Omar Ahmed,1047706144,19,Nasr City - Zone 10,Postpaid Business,9/10/2024,0,220.5
VF-000202,Ibrahim Abdel Gamal,1062133188,52,Nasr City - Zone 1,Prepaid Plus,9/10/2022,0,792.6
VF-000203,Shimaa Mohamed Nasser,1035264294,62,Nasr City - Zone 10,Postpaid Business,10/5/2022,0,299.5
VF-000204,Ibrahim Abdel Mahmoud,1037040091,51,Nasr City - El Mirghany,Prepaid Basic,1/23/2024,0,842.5
VF-000205,Amr Hassan El-Gazzar,1098870866,25,Nasr City - Mostafa El-Nahas,Postpaid 100,7/7/2025,1,461.5
VF-000206,Ghada Gamal Ahmed,1089047551,63,Nasr City - Mostafa El-Nahas,,12/3/2023,0,356.3
VF-000207,Shimaa Ahmed Ahmed,1023973438,56,Nasr City - Zone 10,Postpaid Business,9/6/2024,0,647.8
VF-000208,Essam Gamal Rida,1057040785,18,Nasr City - Zone 8,Prepaid Plus,7/8/2026,0,685.2
VF-000209,Amira Ramadan Zidan,1087585294,52,Nasr City - El Zahraa,Prepaid Basic,3/27/2023,0,752.1
VF-000210,Heba Ibrahim Ibrahim,1083423305,39,Nasr City - Zone 3,Postpaid 200,1/7/2025,0,712.4
VF-000211,Ghada Mahmoud Morsy,1035499255,45,Nasr City - Zone 3,Prepaid Basic,5/9/2025,0,431.8
VF-000212,Ahmed Ramadan Helmy,1067392300,53,Nasr City - El Mirghany,Prepaid Plus,8/13/2025,0,452.6
VF-000213,Sara Fathi El-Banna,1098723294,25,Nasr City - Zone 8,Postpaid 200,4/13/2023,0,542.4
VF-000214,Hassan Salah Rida,1099586100,34,Nasr City - Zone 7,Postpaid 100,10/4/2022,0,243.1
VF-000215,Essam Ramadan Khalil,1073729850,51,Nasr City - El Zahraa,Postpaid Business,1/25/2022,0,806.8
VF-000216,Omar Salah Ahmed,1020518444,28,Nasr City - Zone 7,Prepaid Plus,3/19/2025,0,229.9
VF-000217,Ali Ramadan Abdel-Aziz,1011659440,43,Nasr City - Mostafa El-Nahas,Postpaid 100,5/16/2024,0,563.8
VF-000218,Omar Ibrahim Ramadan,1097884113,36,Nasr City - Mostafa El-Nahas,Postpaid 100,8/14/2023,1,384.9
VF-000219,Nour Ramadan El-Masry,1059988144,62,Nasr City - Zone 7,Postpaid100,4/4/2023,0,844.6
VF-000220,Khaled Sayed Hanafi,1021983878,46,Nasr City - Zone 10,Postpaid 100,8/2/2023,0,623.5
VF-000221,Majed Mahmoud Ibrahim,1080368504,37,Nasr City - Mostafa El-Nahas,Postpaid 200,2/28/2025,0,746.4
VF-000222,Nour Nabil Nasser,1095283260,30,Nasr City - Zone 8,Postpaid 100,4/27/2023,0,553.6
VF-000223,Shimaa Lotfy Zidan,1013684342,40,Nasr City - Zone 3,Postpaid 100,1/22/2022,0,263.3
VF-000224,Hassan Farouk Badawi,1090683906,19,Nasr City - Zone 1,Postpaid 200,3/7/2025,0,653.2
VF-000225,Salma Ramadan El-Banna,1079878835,40,Nasr City - El Mirghany,Postpaid 100,9/12/2024,0,526.7
VF-000226,Rania Sayed El-Sharkawi,1047108953,61,Nasr City - Zone 2,Postpaid 200,7/25/2025,0,435.4
VF-000227,Majed Abdel Abdullah,1028781020,69,Nasr City - Abbas El-Akkad,Postpaid 200,3/21/2022,0,423.7
